Module	Section	Sample Name	Source
featureCounts	all_sections	SRR26421631	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421631.featureCounts.txt.summary
featureCounts	all_sections	SRR26421628	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421628.featureCounts.txt.summary
featureCounts	all_sections	SRR26421632	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421632.featureCounts.txt.summary
featureCounts	all_sections	SRR26421629	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421629.featureCounts.txt.summary
featureCounts	all_sections	SRR26421630	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421630.featureCounts.txt.summary
featureCounts	all_sections	SRR26421633	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421633.featureCounts.txt.summary
Bowtie 2 / HiSAT2	all_sections	SRR26421633	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421633.hisat2.summary.log
Bowtie 2 / HiSAT2	all_sections	SRR26421628	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421628.hisat2.summary.log
Bowtie 2 / HiSAT2	all_sections	SRR26421629	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421629.hisat2.summary.log
Bowtie 2 / HiSAT2	all_sections	SRR26421631	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421631.hisat2.summary.log
Bowtie 2 / HiSAT2	all_sections	SRR26421630	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421630.hisat2.summary.log
Bowtie 2 / HiSAT2	all_sections	SRR26421632	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421632.hisat2.summary.log
FastQC	all_sections	SRR26421631	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421631_fastqc.zip
FastQC	all_sections	SRR26421633	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421633_fastqc.zip
FastQC	all_sections	SRR26421632	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421632_fastqc.zip
FastQC	all_sections	SRR26421629	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421629_fastqc.zip
FastQC	all_sections	SRR26421630	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421630_fastqc.zip
FastQC	all_sections	SRR26421628	/storages/acari/joaovitor.cavalcante/bulkrna_nk_cells/nk_cells/work/96/1baa1cf7baf9693a37a69a71bdddb4/SRR26421628_fastqc.zip
